StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
287;60201148;Viehmarktgasse;Wien;49000001;16.4008027;48.1906739
288;60201425;St. Marx S;Wien;49000001;16.3999493;48.1886796
289;60200417;Grasbergergasse;Wien;49000001;16.4003355;48.1862361
290;60200538;Hofmannsthalgasse;Wien;49000001;16.3998954;48.1850203
291;60200245;Stubentor U;Wien;49000001;16.3802672;48.2073436
292;60201698;Petrusgasse;Wien;49000001;16.3988623;48.1927519
293;60201425;St. Marx S;Wien;49000001;16.399536;48.1885838
294;60201061;Rabengasse;Wien;49000001;16.3978831;48.1938418
295;60200292;Eslarngasse;Wien;49000001;16.3961134;48.1965005
296;60201104;Rochusgasse U;Wien;49000001;16.3908044;48.2022726
297;60201104;Rochusgasse U;Wien;49000001;16.3909122;48.2023444
298;60201471;Weyrgasse;Wien;49000001;16.387795;48.2049249
299;60201078;Raxstraße, Rudolfshügelgasse;Wien;49000001;16.3644478;48.1667496
300;60200136;Gudrunstraße;Wien;49000001;16.3738173;48.1786952
301;60200211;Columbusplatz;Wien;49000001;16.3737544;48.1823011
302;60201349;Hauptbahnhof S U;Wien;49000001;16.3747515;48.1860804
